[2021-05-01 13:33:55,419] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.output_dir = repository/logs
[2021-05-01 13:33:55,419] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.log_base_name = tmlog
[2021-05-01 13:33:55,419] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.console_file_limit = 1073741824
[2021-05-01 13:33:55,419] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.max_timeout = 8000000
[2021-05-01 13:33:55,419] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.tm_unique_name = 172.19.64.1.tm
[2021-05-01 13:33:55,419] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING java.naming.factory.initial = com.sun.jndi.rmi.registry.RegistryContextFactory
[2021-05-01 13:33:55,419] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING java.naming.provider.url = rmi://localhost:1099
[2021-05-01 13:33:55,419] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.service = com.atomikos.icatch.standalone.UserTransactionServiceFactory
[2021-05-01 13:33:55,419] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.force_shutdown_on_vm_exit = true
[2021-05-01 13:33:55,420] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.default_jta_timeout = 5000000
[2021-05-01 14:10:10,306] [-1]  INFO {com.atomikos.persistence.imp.FileLogStream} - Logfile closed: D:\Practicals\AF\ESB\ESB\wso2ei-6.6.0\repository\data\tmlog1.log
[2021-05-01 14:10:10,541] [-1]  INFO {com.atomikos.icatch.imp.thread.TaskManager} - THREADS: using JDK thread pooling...
