TID: [-1234] [2021-05-09 14:24:23,196]  INFO {API_LOGGER.delivery_API} - message = logged into the create-delivert api
TID: [-1234] [2021-05-09 14:29:11,137]  INFO {API_LOGGER.delivery_API} - Initializing API: delivery_API
TID: [-1234] [2021-05-09 14:30:26,207]  INFO {API_LOGGER.delivery_API} - Initializing API: delivery_API
TID: [-1234] [2021-05-09 14:30:42,220]  INFO {API_LOGGER.delivery_API} - message = logged into the delivery-pending api
TID: [-1234] [2021-05-09 15:23:56,594]  INFO {API_LOGGER.delivery_API} - Initializing API: delivery_API
TID: [-1234] [2021-05-09 15:27:14,860]  INFO {API_LOGGER.delivery_API} - message = patch api of delivert logged
TID: [-1234] [2021-05-09 15:45:41,796]  INFO {API_LOGGER.delivery_API} - Initializing API: delivery_API
TID: [-1234] [2021-05-09 15:59:57,019]  INFO {API_LOGGER.delivery_API} - Initializing API: delivery_API
TID: [-1234] [2021-05-09 16:01:42,078]  INFO {API_LOGGER.delivery_API} - Initializing API: delivery_API
TID: [-1234] [2021-05-09 16:03:27,160]  INFO {API_LOGGER.delivery_API} - Initializing API: delivery_API
TID: [-1234] [2021-05-09 16:04:57,211]  INFO {API_LOGGER.delivery_API} - Initializing API: delivery_API
TID: [-1234] [2021-05-09 16:05:01,506]  INFO {API_LOGGER.delivery_API} - message = case api logged
TID: [-1234] [2021-05-09 16:10:16,964]  INFO {API_LOGGER.delivery_API} - message = case api logged
TID: [-1234] [2021-05-09 16:10:57,288]  INFO {API_LOGGER.delivery_API} - Initializing API: delivery_API
TID: [-1234] [2021-05-09 16:11:08,752]  INFO {API_LOGGER.delivery_API} - message = case api logged
TID: [-1234] [2021-05-09 16:15:27,358]  INFO {API_LOGGER.delivery_API} - Initializing API: delivery_API
TID: [-1234] [2021-05-09 16:15:38,018]  INFO {API_LOGGER.delivery_API} - message = case api logged
TID: [-1234] [2021-05-09 16:15:38,020]  INFO {API_LOGGER.delivery_API} - message = logging into the states endpoint
TID: [-1234] [2021-05-09 16:26:12,523]  INFO {API_LOGGER.delivery_API} - Initializing API: delivery_API
TID: [-1234] [2021-05-09 16:26:20,883]  INFO {API_LOGGER.delivery_API} - message = case api logged
TID: [-1234] [2021-05-09 16:26:20,884]  INFO {API_LOGGER.delivery_API} - message = logging into the cities api end point
TID: [-1234] [2021-05-09 16:26:20,885]  INFO {API_LOGGER.delivery_API} - FaultHandler executing impl: org.apache.synapse.mediators.MediatorFaultHandler
TID: [-1234] [2021-05-09 16:26:20,885]  WARN {API_LOGGER.delivery_API} - Executing fault sequence mediator : org.apache.synapse.mediators.base.SequenceMediator
TID: [-1234] [2021-05-09 16:26:24,141]  INFO {API_LOGGER.delivery_API} - message = case api logged
TID: [-1234] [2021-05-09 16:26:24,142]  INFO {API_LOGGER.delivery_API} - message = logging into the cities api end point
TID: [-1234] [2021-05-09 16:26:24,142]  INFO {API_LOGGER.delivery_API} - FaultHandler executing impl: org.apache.synapse.mediators.MediatorFaultHandler
TID: [-1234] [2021-05-09 16:26:24,142]  WARN {API_LOGGER.delivery_API} - Executing fault sequence mediator : org.apache.synapse.mediators.base.SequenceMediator
TID: [-1234] [2021-05-09 16:26:42,393]  INFO {API_LOGGER.delivery_API} - message = case api logged
TID: [-1234] [2021-05-09 16:26:42,393]  INFO {API_LOGGER.delivery_API} - message = logging into the states endpoint
TID: [-1234] [2021-05-09 16:26:48,971]  INFO {API_LOGGER.delivery_API} - message = case api logged
TID: [-1234] [2021-05-09 16:26:48,972]  INFO {API_LOGGER.delivery_API} - message = logging into the cities api end point
TID: [-1234] [2021-05-09 16:26:48,973]  INFO {API_LOGGER.delivery_API} - FaultHandler executing impl: org.apache.synapse.mediators.MediatorFaultHandler
TID: [-1234] [2021-05-09 16:26:48,973]  WARN {API_LOGGER.delivery_API} - Executing fault sequence mediator : org.apache.synapse.mediators.base.SequenceMediator
TID: [-1234] [2021-05-09 16:27:42,606]  INFO {API_LOGGER.delivery_API} - Initializing API: delivery_API
TID: [-1234] [2021-05-09 16:27:52,041]  INFO {API_LOGGER.delivery_API} - message = case api logged
TID: [-1234] [2021-05-09 16:27:52,041]  INFO {API_LOGGER.delivery_API} - message = logging into the cities api end point
TID: [-1234] [2021-05-09 16:27:52,042]  INFO {API_LOGGER.delivery_API} - FaultHandler executing impl: org.apache.synapse.mediators.MediatorFaultHandler
